Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
The Cigna Group,CI,CI,Healthcare,United States,NYQ,87405215744
Intel Corporation,INTC,INTC,Technology,United States,NMS,86557712384
"Mondelez International, Inc.",MDLZ,MDLZ,Consumer Defensive,United States,NMS,85773967360
McKesson Corporation,MCK,MCK,Healthcare,United States,NYQ,85611438080
"Nike, Inc.",NKE,NKE,Consumer Cyclical,United States,NYQ,84500430848
Sherwin-Williams Company (The),SHW,SHW,Basic Materials,United States,NYQ,83516407808
"United Parcel Service, Inc.",UPS,UPS,Industrials,United States,NYQ,82812354560
KKR & Co. Inc.,KKR,KKR,Financial Services,United States,NYQ,85628379136
"HCA Healthcare, Inc.",HCA,HCA,Healthcare,United States,NYQ,81653227520
Arthur J. Gallagher & Co.,AJG,AJG,Financial Services,United States,NYQ,81643405312
"Analog Devices, Inc.",ADI,ADI,Technology,United States,NMS,81637654528
"Arista Networks, Inc.",ANET,ANET,Technology,United States,NYQ,81178296320
Aon plc,AON,AON,Financial Services,Ireland,NYQ,81164533760
CVS Health Corporation,CVS,CVS,Healthcare,United States,NYQ,80262529024
"CrowdStrike Holdings, Inc.",CRWD,CRWD,Technology,United States,NMS,79723388928
"O'Reilly Automotive, Inc.",ORLY,ORLY,Consumer Cyclical,United States,NMS,79556853760
Cintas Corporation,CTAS,CTAS,Industrials,United States,NMS,76852781056
KLA Corporation,KLAC,KLAC,Technology,United States,NMS,76613345280
Lam Research Corporation,LRCX,LRCX,Technology,United States,NMS,75851472896
GE Vernova Inc.,GEV,GEV,Utilities,United States,NYQ,74207969280
"Equinix, Inc.",EQIX,EQIX,Real Estate,United States,NMS,74576756736
Colgate-Palmolive Company,CL,CL,Consumer Defensive,United States,NYQ,74343964672
"Republic Services, Inc.",RSG,RSG,Industrials,United States,NYQ,73518129152
Moody's Corporation,MCO,MCO,Financial Services,United States,NYQ,72392728576
"Micron Technology, Inc.",MU,MU,Technology,United States,NMS,72329134080
Amphenol Corporation,APH,APH,Technology,United States,NYQ,71604076544
Trane Technologies plc,TT,TT,Industrials,Ireland,NYQ,71349207040
Northrop Grumman Corporation,NOC,NOC,Industrials,United States,NYQ,70281928704
Transdigm Group Incorporated,TDG,TDG,Industrials,United States,NYQ,69424324608
"DoorDash, Inc.",DASH,DASH,Communication Services,United States,NMS,68542865408
3M Company,MMM,MMM,Industrials,United States,NYQ,68444852224
Zoetis Inc.,ZTS,ZTS,Healthcare,United States,NYQ,67943477248
Ecolab Inc.,ECL,ECL,Basic Materials,United States,NYQ,67439419392
"Airbnb, Inc.",ABNB,ABNB,Consumer Cyclical,United States,NMS,66272129024
"Motorola Solutions, Inc.",MSI,MSI,Technology,United States,NYQ,67141234688
General Dynamics Corporation,GD,GD,Industrials,United States,NYQ,67098181632
"Williams Companies, Inc. (The)",WMB,WMB,Energy,United States,NYQ,66613055488
Parker-Hannifin Corporation,PH,PH,Industrials,United States,NYQ,66601119744
Illinois Tool Works Inc.,ITW,ITW,Industrials,United States,NYQ,66174574592
"Fortinet, Inc.",FTNT,FTNT,Technology,United States,NMS,65139789824
"Chipotle Mexican Grill, Inc.",CMG,CMG,Consumer Cyclical,United States,NYQ,64094031872
"Cadence Design Systems, Inc.",CDNS,CDNS,Technology,United States,NMS,63882240000
"Regeneron Pharmaceuticals, Inc.",REGN,REGN,Healthcare,United States,NMS,62692421632
"Apollo Global Management, Inc. ",APO,APO,Financial Services,United States,NYQ,61999767552
"EOG Resources, Inc.",EOG,EOG,Energy,United States,NYQ,60973191168
"AutoZone, Inc.",AZO,AZO,Consumer Cyclical,United States,NYQ,61113954304
"PNC Financial Services Group, I",PNC,PNC,Financial Services,United States,NYQ,60589330432
"Synopsys, Inc.",SNPS,SNPS,Technology,United States,NMS,60012662784
"Becton, Dickinson and Company",BDX,BDX,Healthcare,United States,NYQ,59534569472
Marriott International,MAR,MAR,Consumer Cyclical,United States,NMS,59089539072
"Air Products and Chemicals, Inc",APD,APD,Basic Materials,United States,NYQ,58615750656
"Roper Technologies, Inc.",ROP,ROP,Technology,United States,NMS,58181193728
"Workday, Inc.",WDAY,WDAY,Technology,United States,NMS,57759240192
"PayPal Holdings, Inc.",PYPL,PYPL,Financial Services,United States,NMS,57742053376
Capital One Financial Corporati,COF,COF,Financial Services,United States,NYQ,57662140416
U.S. Bancorp,USB,USB,Financial Services,United States,NYQ,57381511168
"Kinder Morgan, Inc.",KMI,KMI,Energy,United States,NYQ,56193368064
American Electric Power Company,AEP,AEP,Utilities,United States,NMS,55791067136
AFLAC Incorporated,AFL,AFL,Financial Services,United States,NYQ,55662211072
Monster Beverage Corporation,MNST,MNST,Consumer Defensive,United States,NMS,55547916288
"The Travelers Companies, Inc.",TRV,TRV,Financial Services,United States,NYQ,54926884864
"Cencora, Inc.",COR,COR,Healthcare,United States,NYQ,53927763968
"Charter Communications, Inc.",CHTR,CHTR,Communication Services,United States,NMS,48041918464
Constellation Energy Corporatio,CEG,CEG,Utilities,United States,NMS,53563482112
Emerson Electric Company,EMR,EMR,Industrials,United States,NYQ,53328027648
"Copart, Inc.",CPRT,CPRT,Industrials,United States,NMS,52661727232
The Bank of New York Mellon Cor,BK,BK,Financial Services,United States,NYQ,52634673152
"Autodesk, Inc.",ADSK,ADSK,Technology,United States,NMS,52293627904
"Paychex, Inc.",PAYX,PAYX,Technology,United States,NMS,51622576128
CSX Corporation,CSX,CSX,Industrials,United States,NMS,51284045824
"ONEOK, Inc.",OKE,OKE,Energy,United States,NYQ,50506936320
FedEx Corporation,FDX,FDX,Industrials,United States,NYQ,50344542208
Hilton Worldwide Holdings Inc.,HLT,HLT,Consumer Cyclical,United States,NYQ,50248683520
Dell Technologies Inc.,DELL,DELL,Technology,United States,NYQ,49986351104
Public Storage,PSA,PSA,Real Estate,United States,NYQ,49911398400
Newmont Corporation,NEM,NEM,Basic Materials,United States,NYQ,49802350592
Allstate Corporation (The),ALL,ALL,Financial Services,United States,NYQ,49445904384
Carrier Global Corporation,CARR,CARR,Industrials,United States,NYQ,49402830848
Realty Income Corporation,O,O,Real Estate,United States,NYQ,49181061120
Royal Caribbean Cruises Ltd.,RCL,RCL,Consumer Cyclical,United States,NYQ,47886118912
Norfolk Southern Corporation,NSC,NSC,Industrials,United States,NYQ,47720165376
PACCAR Inc.,PCAR,PCAR,Industrials,United States,NMS,47706091520
"Simon Property Group, Inc.",SPG,SPG,Real Estate,United States,NYQ,55055888384
Johnson Controls International ,JCI,JCI,Industrials,Ireland,NYQ,47331962880
Schlumberger N.V.,SLB,SLB,Energy,United States,NYQ,47295926272
"MetLife, Inc.",MET,MET,Financial Services,United States,NYQ,47052419072
"American International Group, I",AIG,AIG,Financial Services,United States,NYQ,46088876032
"Digital Realty Trust, Inc.",DLR,DLR,Real Estate,United States,NYQ,47132114944
Keurig Dr Pepper Inc.,KDP,KDP,Consumer Defensive,United States,NMS,45871718400
Exelon Corporation,EXC,EXC,Utilities,United States,NMS,45782634496
Kimberly-Clark Corporation,KMB,KMB,Consumer Defensive,United States,NYQ,45738127360
Howmet Aerospace Inc.,HWM,HWM,Industrials,United States,NYQ,45496233984
Truist Financial Corporation,TFC,TFC,Financial Services,United States,NYQ,45414518784
"W.W. Grainger, Inc.",GWW,GWW,Industrials,United States,NYQ,45398171648
"Dominion Energy, Inc.",D,D,Utilities,United States,NYQ,44937293824
Kroger Company (The),KR,KR,Consumer Defensive,United States,NYQ,44398858240
Crown Castle Inc.,CCI,CCI,Real Estate,United States,NYQ,43969822720
General Motors Company,GM,GM,Consumer Cyclical,United States,NYQ,43959189504
Target Corporation,TGT,TGT,Consumer Defensive,United States,NYQ,43607736320
DBA Sempra,SRE,SRE,Utilities,United States,NYQ,42948026368
"Ross Stores, Inc.",ROST,ROST,Consumer Cyclical,United States,NMS,42848661504
Kenvue Inc.,KVUE,KVUE,Consumer Defensive,United States,NYQ,42677989376
Fastenal Company,FAST,FAST,Industrials,United States,NMS,42676224000
"Freeport-McMoRan, Inc.",FCX,FCX,Basic Materials,United States,NYQ,41890586624
"Yum! Brands, Inc.",YUM,YUM,Consumer Cyclical,United States,NYQ,41259651072
Hess Corporation,HES,HES,Energy,United States,NYQ,41175478272
Fair Isaac Corporation,FICO,FICO,Technology,United States,NYQ,40916758528
NXP Semiconductors N.V.,NXPI,NXPI,Technology,Netherlands,NMS,40784629760
Edwards Lifesciences Corporatio,EW,EW,Healthcare,United States,NYQ,40627965952
"Ameriprise Financial, Inc.",AMP,AMP,Financial Services,United States,NYQ,40451710976
"D.R. Horton, Inc.",DHI,DHI,Consumer Cyclical,United States,NYQ,41024405504
Phillips 66,PSX,PSX,Energy,United States,NYQ,40284635136
"Verisk Analytics, Inc.",VRSK,VRSK,Industrials,United States,NMS,39977254912
MSCI Inc.,MSCI,MSCI,Financial Services,United States,NYQ,39378157568
"Consolidated Edison, Inc.",ED,ED,Utilities,United States,NYQ,38597832704
"Nasdaq, Inc.",NDAQ,NDAQ,Financial Services,United States,NMS,39253647360
Xcel Energy Inc.,XEL,XEL,Utilities,United States,NMS,39006404608
Public Service Enterprise Group,PEG,PEG,Utilities,United States,NYQ,38753148928
Cummins Inc.,CMI,CMI,Industrials,United States,NYQ,38240215040
"Corteva, Inc.",CTVA,CTVA,Basic Materials,United States,NYQ,38105407488
Occidental Petroleum Corporatio,OXY,OXY,Energy,United States,NYQ,38098804736
Ford Motor Company,F,F,Consumer Cyclical,United States,NYQ,38095347712
"Axon Enterprise, Inc.",AXON,AXON,Industrials,United States,NMS,38607863808
"L3Harris Technologies, Inc.",LHX,LHX,Industrials,United States,NYQ,37929893888
Marathon Petroleum Corporation,MPC,MPC,Energy,United States,NYQ,37717057536
Otis Worldwide Corporation,OTIS,OTIS,Industrials,United States,NYQ,37657411584
Fidelity National Information S,FIS,FIS,Technology,United States,NYQ,37025472512
Discover Financial Services,DFS,DFS,Financial Services,United States,NYQ,36995997696
"United Rentals, Inc.",URI,URI,Industrials,United States,NYQ,36884545536
TE Connectivity plc,TEL,TEL,Technology,Ireland,NYQ,36399063040
Pacific Gas & Electric Co.,PCG,PCG,Utilities,United States,NYQ,36062457856
"Diamondback Energy, Inc.",FANG,FANG,Energy,United States,NMS,35708334080
"Quanta Services, Inc.",PWR,PWR,Industrials,United States,NYQ,35488976896
The Kraft Heinz Company,KHC,KHC,Consumer Defensive,United States,NMS,35420114944
CBRE Group Inc,CBRE,CBRE,Real Estate,United States,NYQ,35428368384
Electronic Arts Inc.,EA,EA,Communication Services,United States,NMS,35272040448
"AMETEK, Inc.",AME,AME,Industrials,United States,NYQ,35225837568
"Targa Resources, Inc.",TRGP,TRGP,Energy,United States,NYQ,35072524288
Baker Hughes Company,BKR,BKR,Energy,United States,NMS,35068293120
Sysco Corporation,SYY,SYY,Consumer Defensive,United States,NYQ,34950594560
"Take-Two Interactive Software, ",TTWO,TTWO,Communication Services,United States,NMS,34342592512
Garmin Ltd.,GRMN,GRMN,Technology,Switzerland,NYQ,34336419840
Entergy Corporation,ETR,ETR,Utilities,United States,NYQ,34043910144
"Prudential Financial, Inc.",PRU,PRU,Financial Services,United States,NYQ,34212839424
Cognizant Technology Solutions ,CTSH,CTSH,Technology,United States,NMS,33999902720
Corning Incorporated,GLW,GLW,Technology,United States,NYQ,33474277376
Vistra Corp.,VST,VST,Utilities,United States,NYQ,33359196160
lululemon athletica inc.,LULU,LULU,Consumer Cyclical,Canada,NMS,31811979264
Arch Capital Group Ltd.,ACGL,ACGL,Financial Services,Bermuda,NMS,32999137280
"Brown & Brown, Inc.",BRO,BRO,Financial Services,United States,NYQ,32965087232
"WEC Energy Group, Inc.",WEC,WEC,Utilities,United States,NYQ,33160599552
Valero Energy Corporation,VLO,VLO,Energy,United States,NYQ,32920922112
The Hershey Company,HSY,HSY,Consumer Defensive,United States,NYQ,32863823872
"General Mills, Inc.",GIS,GIS,Consumer Defensive,United States,NYQ,32642496512
"The Hartford Insurance Group, I",HIG,HIG,Financial Services,United States,NYQ,32411402240
VICI Properties Inc.,VICI,VICI,Real Estate,United States,NYQ,32324454400
"Old Dominion Freight Line, Inc.",ODFL,ODFL,Industrials,United States,NMS,32319590400
"IDEXX Laboratories, Inc.",IDXX,IDXX,Healthcare,United States,NMS,31907485696
"Constellation Brands, Inc.",STZ,STZ,Consumer Defensive,United States,NYQ,31426238464
